id,comment
00057-4,"@user :v te matan por ser mujer y justificas tu mrda ? En serio ? La mayoría de asesinos son hombres , violentos , encima no sólo te matan , te hacen mas atrocidades...
Asi que desde ya se sabe el problema es el machismo y su justificación , como la tuya y deja de victimizarte que la lagrimas de machitos dan pena.
Saludos."
00057-5,"@user Me parece patético lo q dices enserio...
Y no es porqué sea machista pero como ya dijiste hay mucha violencia,¿porqué generar más atacando y menospreciando gente inocente?,"
00057-6,"ver los comentarios de yamila respondiendo a los comentarios de metallica cuando el ya los borro...
ahi es cuando yo digo...
ESQUIZOFRENIA"
00057-7,"@user Voy a debatir porque tu punto está mal:
Sí, muchos asesinos son hombres, quienes provienen de familias rotas ya sea del padre o de la madre, ambos casos son por igual. Pero ustedes se enfocan más en los hombres porque es más conveniente.
Los medios de comunicación y empresas que apoyan tus ideologías siempre les da la razón porque nos quieren implementar su razonamiento tan vacuo a personas con poco raciocinio. Tú eres parte de eso, aunque lo quieres negar y defenderte a capa y a espada. ¿Ustedes creen que con una cancioncita van a reducir las violaciones y asesinatos? simplemente NO. 
Otras de las cosas que tengo que decir es que la violencia NO tiene género; tanto a hombres y mujeres los matan por igual, pero como los medios son harto sensacionalistas, se enfocan más en la mujer porque el morbo vende. Tantos escándalos por asesinatos y violaciones de mujeres inocentes, cuando a hombres inocentes los han violado y asesinado sin motivo. Todos hablando de tal asesinato o tal violación de x mujer, cuando a hombres los han encontrado descuartizados, torturados y con signos de violación y nadie hace escándalo por ello, ni sus mismas familias, quienes se suponen deben pedir justicia.
Para finalizar, la violencia no fue creada por el patriarcado o el estado opresor; es culpa de la carencia de valores al criar de AMBAS partes, hombres y mujeres. Así que la degradación de los valores de la sociedad ha sido 50% del hombre y 50% de la mujer ;)"
00057-8,"@user...la culpa no era tuya , era mía ."
58,"Letra de la canción 

El patriarcado es un juez,
Que nos juzga por nacer 
Y nuestro castigo 
Es la violencia que no ves.
El patriarcado es un juez,
Que nos juzga por nacer
Y nuestro castigo
es la violencia que no ves 
Es feminicidio
Impunidad para el asesino 
Es la desapareció
Es la violación 
Y la culpa no era mía,ni dónde estába ni como vestía 
Y la culpa no era mía,ni dónde estaba ni como vestía 
Y la culpa no era mía,ni como vestía 
Y la culpa no era mia,ni dónde estaba ni como vestia
El violador eres tú 
El violador eres tú
Son los pacos 
Los jueces
El estado 
El precidente 
El estado opresor es un macho violador
El violador eras tú...
Duerme tranquila niña inose nte,sin preocuparse del bandolero 
Que por tus sueños dulce y sonriente ver la tu amante carabinero
El violador eras tu, 




Ufff acabe"
59,estos imbéciles feminista algo que hablan son estupideces Estoy seguro que a ninguna de ella la violado nadie y mucho menos le han pegado por lo menos nombre Porque la mayoría son lesbianas no quieren la igualdad sólo quieren una supremacía y poder condenar a quién le dé la gana porque simplemente les da la gana
60,Vayan a laburar manga de conchudas
61,Oí ese cumbion!!!
62,Jajajjaja como estan alpedo por Dios
63,Jaja q mediocridad feminazis inutiles
64,Claro q hay responsabilidad en como visten o se desvisten quieres vestir de zorras y trato de dama q incongruencia estan por empatar al hombre pero en la estupidez
00064-1,"Tienes toda la razón, esto se va a convertir en un desastre mundial"
65,Me esta diciendo violador no no no señor
66,Les digo por que ya no hay debates feministas donde ganan las mujeres o por que no canales de mujeres feministas ablando con calma activos de humillando hombres por que eyas estan equivocadas pum que mas podria ser
67,A con razón te tardaste en comprar las tortillas mija
68,No puedo mas me duele la barriga
69,esto es macabro
70,El patriarcado:Que buena rola xd
71,"Soy español y que vamos a esperar de sur América ???? Vivis en otro siglo, no tenéis arreglo !!! Qué asco dais !!!!"
00071-1,"Esa basvra la crearon las chilenas, la gente más anárquica del mundo"
00071-2,Acaso en España o Francia no sucede eso ? Ustedes con sus protestas sociales estan peor que toda América en general
72,"Asco estás Feminazis pero
Dejando de lado sus payasadas les reconozco que han inventado el mejor meme del 2019 
""El violador eres tú"" sí tú lo eres
Que te tocas el ganzo a escondidas de tu mujer"
73,"*- Queremos derrocar al patriarcado*
*- Pero el patriarca fue derrocado en la saga de las 12 casas 🏦🏦🏦 que no lo recuerdas*
*- Maldición!!!*re"
00073-1,Pero aun sigue estando presente pero no del todo
00073-2,"Claro por Seya y los caballeros del zodiaco. Ha eso sí Saori era la Diosa, hay que darle su lugar si no dirán que somos machistas!!!!!"
00073-3,@user no hay ningún tipo de patriarcado en occidente
00073-4,"Ok, este comentario si estuvo bueno. xDD"
00073-5,Pense que era unico de mi madre olvidarse las peliculas.
00073-6,@user Ese es un prototipo de mujer que me gusta. Sabia y compasiva.
74,Y LA CULPA NO ERA MIA NI DONDE ESTABA NI CÓMO VESTÍA 😂😂😂😂😂😂😂😂 ME CAGUE DE LA PUTA RISA 😂😂😂😂😂CHES PAYASADAS_x2e22b30b__xe00007fe__x0004_ocl_x2e000c90__x300007fe__x2e22cca7__x300007fe__x2e11008b__x200007fe__x2e221feb_
75,"¿Sabían que?
Un estudio reveló que el 90% de las mujeres que abordaron el Titanic sobrevivió gracias al machismo y desigual de género.
Y cerca del 98% de los hombres, incluso adolecentes de 13 a 18 años murió en el hundimiento..
Maldito estado patriarcado, machista y opresor pudrace 🙄🙄 s"
00075-1,"En la guerra de la triple alianza , el 90% de la población masculina de Paraguay murió , mientras que menos del 5% de las mujeres lo hicieron ;-; si quieren tanta igualdad alistense en el ejército"
00075-2,Exacto
76,Mis huevos en su arroz jajajaja
77,Me parto el rabo
78,💃💃🕺😂😂😅que linda música jajaj
79,"👍 mujeres
👎 hombres
😂😂😂jajaj"
00079-1,"👍🏻 Mujeres
👍🏻 Hombres
Feministas 💩💩💩
La verdad 👆🏻o vestia"
00079-2,@user feministas (helado)🤔
80,Mmmm me pregunto si el presidente es el obrador 🤔🤔_x2e65680_怀
81,Piñera asesino
82,Lo malo es que generalizan a todos los hombres tal y como fuese un violador eso es lo único malo que encuentro pero el himno es la ostia
83,"No, la culpa era era mía ya que soy una machista, una facha, una xenófoba, una homofobica, una franquista, una retrógrada... Y solo por querer votar a Vox 💚🇪🇸_x2e22b611__xf00007fe__x0008_"
00083-1,Diablos señorita
00083-2,"Somos terribles, deberíamos regresar al Siglo XV"
84,ridiculas
85,"Las feministas destrozando la ciudad


Los hombres que les gusta la ciudad


El de la pintura comex
:vcada like un meme"
00085-1,"Las feministas :queremos un trato igualitario

Los hombres : entonces la peleas van hacer iguales

Feministas :espera ¿que?"
86,"Feminista: Queremos Igualdad
Patriarcado: Le Pone Un Bulto De Cemento
Feminista: *Se Le Parte La Espalda*
Patriarcado: ( ._.)"
00086-1,Xd
87,Mugres señoras locas que no saben ni por lo que luchan
88,"UN ASCO, ESO ES SIMPLEMENTE Y ME IMPORTA UN CARAJO SI SE OFENDEN"
89,Feministas son las más pendejas y estúpidas del mundo
90,Alta rola pero ponele voluntad a la coreografía la puta madre
91,Sólo veo puras machorras.
92,"Como hay machismo toxico, existe el feminismo toxico. Eso es una realidad que hay que reconocer. No voy a generalizar, un amigo me contó su anécdota de ir a la manifestación de la mujer del 8M en Mexico. Mi amigo fue invitado por una mujer a la marcha, esta persona es la persona más pro mujer que conozco, apoya los derechos de aborto, leyes encaminadas a la equidad de genero, etc. No es de los que se queda en un cafe a hablar de los temas, toma acción a nivel local y hace lobbying a favor de la mujer a nivel estatal. Cuando se integró a la marcha un grupo de mujeres lo golpearon, le escupieron, lo pintaron con aerosol, rayaron su carro. Huyo despavorido a su casa, y lloró. 


Le digo que no son todas, en el movimiento femenista tenemos que expulsar a estas radicales. Y cuando nos dan la mano en buena fe hay que tomarla. No importa de que sexo sea la persona que nos quiera ayudar."
93,Pobres pendejas
94,Parece secta satánica la wea
95,Puras weonas feas cantando esta patética canción.... ni un brillo estas flojas zánganas.... exigen respeto y no respetan. ..
96,Feministas toma se te cayo el cerebro ....
00096-1,Acaso tienen uno ?
97,"Feministas: *crean un himno*


Hombres: *¿Cómo lo sabías? ! Amo esa canción!*"
00097-1,😂👍Ƌ9
00097-2,nope
00097-3,🤣🤣🤣👌🏻
00097-4,Te mereces un trago.
98,"Nose si es una broma masiva, cuando una mujer mata a sus hijos o los maltrata o los bota en la calle al nacer como lo llamamos patriarcado? O la asesina eres tú"
99,Parecen pendejas ahí váyansen aser algo asu casa ala verga
100,VAMOOOS Boca campeón
00100-1,Aguante Boca!! Pero que tenia que ver Boca en un video tan horrible como este jajajaja
00100-2,@user la verdad ? Xd pero bueno aguante boquita
00100-3,"Jaaj soy de river, pero ame este comentario :v"
101,👏👏👏👏 no al feminismo
102,"Bueno, en definitiva seguro les vinieron bien esas sentadillas"
103,Algunas están enfermas
104,Like si la culpa no era tuya 😂😂e
105,"00:40/00:41 
La chica de rojo para que le echa un ojo a la letra si está vendada en los ojos 😂⁉️ más tonta imposiblea"
00105-1,Al ser feminazi tendrá un gusano en el cerebro xD
00105-2,"A lo mejor tiene agujeros en las cintas, no c xd"
106,"Parece que a los machitos se sintieron tocados con la canción, si no, no se entiende porqué les jode tanto"
00106-01,Ustedes sigan haciendo estas pendejadas que nosotros no nos importa y nos cagamos de risa
00106-02,Si te están acusando de violador qué esperas? Que aplaudamos?
00106-03,"Que nos jodió ? Pero si nos cagamos de risa 😂 y hacemos memes , dime aparte del rechazado social y la vergüenza que ganaron ?"
00106-04,"@user vergüenza es ser alto macho, además la incomodidad la demuestran través de bromas, de comentarios machistas e insultos. No tiene lógica enojarse por algo en lo que no te sentís tocado"
00106-05,"@user otro que se sintió tocado con la canción? Están acusando a los violadores, siempre culpan a la víctima y la canción se refiere a que la única culpa la tiene el violador 🙄🙄. Además soy hombre y no me sentí ni un poco tocado con esoon"
00106-06,"@user eso si no me parece eso chistes de ""hasme un sándwich"" o ""a la cocina"" , pero es que dan risa , pelean una guerra que ya terminó hace tiempo qué quieren igualdad ? Fíjate en la constitución y dime si ves una ley que este a favor del hombre sobre la mujer ..... no hay no existe , la mujer tiene mas privilegios que los hombres hoy en dia y si quieren negarlo entonces ya tienes un problema."
00106-07,"@user Si eres hombre ya estás completamente castrado, no tienes remedio, Mangina grado 5"
00106-08,"@user vos tenés alto problema las mujeres siguen luchando porque todavía no hay una igualdad de género, en la política hay más hombres que mujeres, casi siempre tenemos un presidente y no presidenta, sigue habiendo muchos femicidios, violan mujeres, las acosan, torturan, las infravaloran y siguen siendo las que más hacen las tareas del hogar ¿de qué privilegios me hablás? Y precisamente por eso tienen centros de ayuda para mujeres 😒😒, los casos donde un hombre es asesinado por su novia /esposa son mínimos además cuando es así tratan al hombre como débil porque en su mentalidad el debería pegarle. 
Esos sí son privilegiosa"
00106-09,"@user uuuh noo sos re machista amigo, hacetelo ver porque no es normal"
00106-10,"@user Mira compañera, a estas alturas que me digan machista es un halago!"
00106-11,"@user Las mayoría de votantes son mujeres, así que si la mayoría de presidentes son hombres es porque ellas los eligen... Y en la política (diputados y senadores) con su est_pida ley de paridad de género ya son 50% y 50%, no importa la capacidad ya, ahora eligen por género, gran bab0sada"
00106-12,"@user privilegios ? Por ser hombre significa que tengo privilegios ? Dónde estan que no me llegaron todavía 🤦🏻‍♂️ das pena , tomas en cuenta los asesinatos de mujeres pero no el hecho de que mas del 70% de asesinatos a niños son perpetuados por mujeres , casi todos los asesinatos y robos son hacia hombres , y ni hablar de la cantidad de hombres muertos en guerra por año , si las mujeres fiscalmente tienen muchos mas privilegios quieres que te los diga ? Y no niego que aun siguen abiendo casos de abuso doméstico pero esclavitud ? Joder en un mundo tan globalizado como este y las mujeres aún creen que tienen que hacer lo que esos hombres digan ? Ya una cosa también es mejorar la educación porque no es posible que se dejen usar de esa forma !!! Una vez que dejen de dejarse los abusadores desaparecerán , eso deberian hacer dar charlas informáticas en escuelas o apoyar esos centros de ayuda en vez de crear una canción ridícula , y quemar monumentos etc hay muchas formas de ayudar en vez del bandalismo 🤷🏻‍♂️ est"
00106-13,"@user amigo date cuenta de los temas que tocás son gracias al patriarcado, las mujeres no pueden entrar en el ejército (son muy pocas) , las muertes de hombres son porque otros hombres los mataron, la violencia infantil he visto las estadísticas y varían, vos buscaste las que dicen que las mujeres son mucho más violentas con sus hijos que no lo niego es una posibilidad. Pero date cuenta de que todo lo que decís es patriarcal"
00106-14,"Ya no contesto más, dan mucha paja"
00106-15,"@user y dale con el patriarcado , es su única excusa ? Bye"
00106-16,@user tus huevos huelen a marisco aliade
107,Si se tapan los ojos como van a limpiar la casa?
108,Jajajajajaj😂😂😂😂😂😂e.com/
109,"Gracias está canción bajaron las violaciones masivamente , jajaj que estúpidas son."
00109-1,Que estupidos son los que piensan que creemos que se van a disminuir las violaciones repentinamente😬_x69620008_
110,Круто!
111,"La culpa si era tuya, dónde estabas y como vestías."
112,"Ritmo pegadizo🎶🎶tum tum tum, tum tum tum...🎶🎶 Muy buena batucada, enhorabuena 👍👏👏n."
113,Me encanta que digan que juzguen los policías cuando el que juzga es el juez
114,La cancion mas pendeja que e oido pinches morras pendejas
115,Como coño acabe viendo esta pendejada?
00115-1,Una palabra .... Memes :v
116,Pq mesclan el feminismo con el aborto ? Se ponen el pañuelo violeta para ni una menos y despues el verde para matar a una niña no deciada?no tiene nada de coherencia lo q hacen
117,"Estan muy desafinadas ademas un 0,1 por ciento de los hombres son violasores"
118,"Ya @user fui criado bien y mi hijo tambien, no podemos ser violadores por que nos abrumados cuando levanta la voz mi esposa!!!!!! Joder no pongan a todos en el mismo saco."
119,El otro dia escuchando canciones aleatorio me salio una cancion con el mismo ritmo cancion vieja alguien sabe cual es el tema de donde sacaron el ritmo =?
120,Que chistosas son estas feministas 🤣🤣🤣🥳🥳🥳_WPRUt
121,Me gusta
122,"El patriarcado es un juez
Que nos obliga a cojer
El violento no eres tú
El vandalismo soy yo."
123,quiza cuantos culiaos estan parados ahi mas funados que la chucha y
124,Pobres enfermas jajaja
125,Les falta educación piden respeto y matan a sus hijos que ironía no ?locas el demonio en vida
