id,comment,comment_cleaned_with_stop_Words,comment_cleaned_w/o_stopWords,type_comment,related_video
5,Si un baile fuera la solución para acabar con lo feminicidios. Lo apoyo y creo que es algo bueno para dar a conocer la marcha,si un baile fuera la solución para acabar con lo feminicidios lo apoyo y creo que es algo bueno para dar a conocer la marcha,si baile solución acabar feminicidios apoyo creo bueno dar conocer marcha,Opinion about the video or content,yes
6,Ahora a casa que hay que hacer la cena!!!,ahora a casa que hay que hacer la cena,ahora casa hacer cena,Opinion about the video or content,yes
00006-1,¿sos tan inútil que no podés cocinarte siquiera?,sos tan inútil que no podés cocinarte siquiera,sos tan inútil podés cocinarte siquiera,Evaluation of the interlocutor,no
00006-2,El que entendió entemdio,el que entendió entemdio,entendió entemdio,Personal exchange,no
7,"no no es tu culpa de donde estabas y como vestias, como tampoco es mi culpa si me meto a una zona brava solo con mi celular en la mano y me lo roban, no es mi culpa xd",no no es tu culpa de donde estabas y como vestias como tampoco es mi culpa si me meto a una zona brava solo con mi celular en la mano y me lo roban no es mi culpa,culpa vestias tampoco culpa si meto zona brava solo celular mano roban culpa,Opinion about the video or content,yes
8,K viejas Max estúpidas,k viejas max estúpidas,k viejas max estúpidas,Opinion about the video or content,yes
9,"Esto lo podria definir en 2 palabras ""verguenza agena""",esto lo podria definir en dos palabras verguenza agena,podria definir dos palabras verguenza agena,Opinion about the video or content,yes
00009-1,mas vergüenza me da tu manera de escribir <3 besis,mas vergüenza me da tu manera de escribir tres besis,mas vergüenza da manera escribir tres besis,Evaluation of the interlocutor,no
00009-2,Encontramos a una Grammar nazi,encontramos a una grammar nazi,encontramos grammar nazi,Evaluation of the interlocutor,no
10,Cuando sale el pack?,cuando sale el pack,sale pack,Other topic,no
11,Yo vine para escuchar el original y el remix.,yo vine para escuchar el original y el remix,vine escuchar original remix,Opinion about the video or content,yes
12,"En el estribillo les faltó el asesino eres tú aparte del violador .... Debería ser el violador asesino eres tú , el asesino violador ere tu",en el estribillo les faltó el asesino eres tú aparte del violador debería ser el violador asesino eres tú el asesino violador ere tu,estribillo faltó asesino aparte violador debería ser violador asesino asesino violador ere,Opinion about the video or content,yes
00012-1,Cualquiera de las dos estaría más que bien no ? Justicia por todas nuestras pares y quién dice que un día no muy lejano sea una más 🤦e,cualquiera de las dos estaría más que bien no justicia por todas nuestras pares y quién dice que un día no muy lejano sea una más e,cualquiera dos bien justicia todas pares quién dice día lejano,Opinion about the video or content,yes
00012-2,"No amigo no soy feminazi ,solo que estoy arta de ver cómo nos violan y matan con tanta impunidad las leyes acá en Argentina son muy flojas y si miras las estadísticas de las muertes diarias por femicidio te vas a dar cuenta 🤷 yo creo que está canción habla del pervertido que no puede manejar sus instintos de macho y no juzgo a todos los hombres por igual !! Ok solo al que mira a una Niña como una mujer adulta y a una adulta como un objeto y no ! Como un ser humano par suyo ,nos destruyen de todas las maneras posibles psicológicamente , con maltrato físico y el estado no hace nada !!! No una condena que ejemplifique para que no suceda nunca más !!! Justo cuando di mi opinión mataron acá en mi ciudad a Fátima y va a ser una más de todas las que seguiremos siendo víctimas ! Hoy en día nadie está exenta ! Porque no hacen nada !!!!!!",no amigo no soy feminazi solo que estoy arta de ver cómo nos violan y matan con tanta impunidad las leyes acá en argentina son muy flojas y si miras las estadísticas de las muertes diarias por femicidio te vas a dar cuenta yo creo que está canción habla del pervertido que no puede manejar sus instintos de macho y no juzgo a todos los hombres por igual ok solo al que mira a una niña como una mujer adulta y a una adulta como un objeto y no como un ser humano par suyo nos destruyen de todas las maneras posibles psicológicamente con maltrato físico y el estado no hace nada no una condena que ejemplifique para que no suceda nunca más justo cuando di mi opinión mataron acá en mi ciudad a fátima y va a ser una más de todas las que seguiremos siendo víctimas hoy en día nadie está exenta porque no hacen nada,amigo feminazi solo arta ver cómo violan matan tanta impunidad leyes acá argentina flojas si miras estadísticas muertes diarias femicidio vas dar cuenta creo canción habla pervertido puede manejar instintos macho juzgo hombres igual ok solo mira niña mujer adulta adulta objeto ser humano par destruyen todas maneras posibles psicológicamente maltrato físico hace condena ejemplifique suceda nunca justo di opinión mataron acá ciudad fátima va ser todas seguiremos siendo víctimas hoy día nadie exenta hacen,Opinion about the video or content,yes
00012-3,@user adoctrinada,@user adoctrinada,@user adoctrinada,Evaluation of the interlocutor,no
13,Basta de cantar AHORA VENGAN A COSINAR,basta de cantar ahora vengan a cosinar,basta cantar ahora vengan cosinar,Opinion about the video or content,yes
14,Leonel me violó :(,leonel me violó,leonel violó,Other topic,no
15,Entonces soy un violador y no lo sabía?,entonces soy un violador y no lo sabía,entonces violador sabía,Personal exchange,no
16,Ánimo que hay hombres violadores hay mujeres violadoras que han violado a niñosprofesoras cambia a sus alumnos a menores han salido con menores con esa profesora de la que salió con 17 años y tuvo hijos con los hombres también hay mujeres que abusan de los,ánimo que hay hombres violadores hay mujeres violadoras que han violado a niñosprofesoras cambia a sus alumnos a menores han salido con menores con esa profesora de la que salió con diecisiete años y tuvo hijos con los hombres también hay mujeres que abusan de los,ánimo hombres violadores mujeres violadoras violado niñosprofesoras cambia alumnos menores salido menores profesora salió diecisiete años hijos hombres mujeres abusan,Opinion about the video or content,yes
00016-1,Práctica mente muren más hombres que mujeres y los hombres no van a dicen y la matadora eres tuu ni inventan un día para no salir de su casa yo soy mujer y no me importa 🤷‍♀️_x6d206f6e_,práctica mente muren más hombres que mujeres y los hombres no van a dicen y la matadora eres tuu ni inventan un día para no salir de su casa yo soy mujer y no me importa xseisddoscientos seisfseise,práctica mente muren hombres mujeres hombres van dicen matadora tuu inventan día salir casa mujer importa xseisddoscientos seisfseise,Opinion about the video or content,yes
17,"Pero si le ponen la canción, le da una depresión tonta , llorando lo comienza a llamar",pero si le ponen la canción le da una depresión tonta llorando lo comienza a llamar,si ponen canción da depresión tonta llorando comienza llamar,Other topic,no
00017-1,Jajajajajajaja🤣🤣_x7b3cfed__x0001_,jajajajajajaja,jajajajajajaja,Evaluation of the interlocutor,no
00017-2,c mamo,c mamo,c mamo,Other topic,no
18,"Todas son unas viejas olgasanas guebonas y que en sus casas tiene la casa asquerosa ..en ves de perder el tiempo en arguendes ,pónganse a trabajar",todas son unas viejas olgasanas guebonas y que en sus casas tiene la casa asquerosa en ves de perder el tiempo en arguendes pónganse a trabajar,todas unas viejas olgasanas guebonas casas casa asquerosa ves perder tiempo arguendes pónganse trabajar,Opinion about the video or content,yes
19,Jajajajajajajajajaja que estupidez 😂😂😂😂😂83mOs,jajajajajajajajajaja que estupidez ochenta y tresmos,jajajajajajajajajaja estupidez ochenta tresmos,Evaluation of the interlocutor,no
00019-1,"mirate ridículo, machito que no tiene argumentos insultando un himno tan significativo",mirate ridículo machito que no tiene argumentos insultando un himno tan significativo,mirate ridículo machito argumentos insultando himno tan significativo,Evaluation of the interlocutor,no
00019-2,haber explicate por que es estupido.. Veamos si tu cerebro te da para pensar un poco,haber explicate por que es estupido veamos si tu cerebro te da para pensar un poco,haber explicate estupido veamos si cerebro da pensar,Evaluation of the interlocutor,no
00019-3,"@user tan significativo? JAJAJAJAJAJAJAJAJA
Es una estupidez ver a una bola de gordas y solteronas amargadas hacer esta perdidade tiempo, un bailecito embarazoso y una letra aun mas vergonzosa, ya me imagino a los feminicidas corriendo de pavor o diciendo ""guau que baile, ya vamos a dejar de atacar a las mujeres por esto"" pero mega gordas como tu nunca ven eso, el chiste es hacer idioteces que no sirven de nada.
Pero bueno, que bien que te ardiste por mi comentario, solterona mantecosa 👍😉jajajajaja","@user tan significativo jajajajajajajajaja
es una estupidez ver a una bola de gordas y solteronas amargadas hacer esta perdidade tiempo un bailecito embarazoso y una letra aun mas vergonzosa ya me imagino a los feminicidas corriendo de pavor o diciendo guau que baile ya vamos a dejar de atacar a las mujeres por esto pero mega gordas como tu nunca ven eso el chiste es hacer idioteces que no sirven de nada
pero bueno que bien que te ardiste por mi comentario solterona mantecosa jajajajaja",@user tan significativo jajajajajajajajaja estupidez ver bola gordas solteronas amargadas hacer perdidade tiempo bailecito embarazoso letra aun mas vergonzosa imagino feminicidas corriendo pavor diciendo guau baile vamos dejar atacar mujeres mega gordas nunca ven chiste hacer idioteces sirven bueno bien ardiste comentario solterona mantecosa jajajajaja,Opinion about the video or content,yes
00019-4,"no por nada puedes ver la mar de burlas y memes en estos comentarios, eso es lo unico que lograron estupidas, hacernos reir y mucho 😂😂😂😂😂😂😂😂😂
Felicidades taradas, bravo 👏👏👏👏👏👏👏👏😂","no por nada puedes ver la mar de burlas y memes en estos comentarios eso es lo unico que lograron estupidas hacernos reir y mucho 
felicidades taradas bravo",puedes ver mar burlas memes comentarios unico lograron estupidas hacernos reir felicidades taradas bravo,Opinion about the video or content,yes
20,la cantidad de comentarios estúpidos en esta sección de comentarios ...,la cantidad de comentarios estúpidos en esta sección de comentarios,cantidad comentarios estúpidos sección comentarios,Evaluation of the interlocutor,no
00020-1,Es que esas mujeres son estúpidas sjjsjsjjsjs salu2,es que esas mujeres son estúpidas sjjsjsjjsjs saludos,mujeres estúpidas sjjsjsjjsjs saludos,Opinion about the video or content,yes
00020-2,@user qué es lo que tu le ves de estúpido a manifestarse en contra de algo que las ha oprimido durante años?,@user qué es lo que tu le ves de estúpido a manifestarse en contra de algo que las ha oprimido durante años,@user ves estúpido manifestarse oprimido años,Evaluation of the interlocutor,no
00020-3,@user es estúpido por qué eso no parará a ningún violador en ves de estar haciendo esas pendejadas y exponerse como estúpidas que son tienen que ir a juntar firmas para parar eso,@user es estúpido por qué eso no parará a ningún violador en ves de estar haciendo esas pendejadas y exponerse como estúpidas que son tienen que ir a juntar firmas para parar eso,@user estúpido parará ningún violador ves haciendo pendejadas exponerse estúpidas ir juntar firmas parar,Opinion about the video or content,yes
00020-4,"@user JAJAJAJ juntar firmas??? tu crees que eso va a parar a los violadores??? mira se nota que no captaste el propósito. la idea es quitar esa idea de que la víctima tiene la culpa, siempre dicen que era la ropa la hora o etc, pero en realidad la culpa es meramente del violador",@user jajajaj juntar firmas tu crees que eso va a parar a los violadores mira se nota que no captaste el propósito la idea es quitar esa idea de que la víctima tiene la culpa siempre dicen que era la ropa la hora o etc pero en realidad la culpa es meramente del violador,@user jajajaj juntar firmas crees va parar violadores mira nota captaste propósito idea quitar idea víctima culpa siempre dicen ropa hora etc realidad culpa meramente violador,Opinion about the video or content,yes
00020-5,@user al violador le chupa un huevo que hagan su cancioncitas o destruyar propiedad publica como en mexico,@user al violador le chupa un huevo que hagan su cancioncitas o destruyar propiedad publica como en mexico,@user violador chupa huevo hagan cancioncitas destruyar propiedad publica mexico,Opinion about the video or content,yes
00020-6,"@user pero no va enfocado al violador, va para que la gente deje de excusar al violador",@user pero no va enfocado al violador va para que la gente deje de excusar al violador,@user va enfocado violador va gente deje excusar violador,Opinion about the video or content,yes
00020-7,@user si las feministas on las apoyan al violador dicen de que por ser marginados de la sociedad se les debieria tratar un poco mejor para que recapaciten y lo esta en varios post de universidades en mexico de feministas,@user si las feministas on las apoyan al violador dicen de que por ser marginados de la sociedad se les debieria tratar un poco mejor para que recapaciten y lo esta en varios post de universidades en mexico de feministas,@user si feministas on apoyan violador dicen ser marginados sociedad debieria tratar mejor recapaciten varios post universidades mexico feministas,Opinion about the video or content,yes
21,Hombres,hombres,hombres,Personal exchange,no
22,"le di laik, ya que me sacó un par de risas :v xd",le di laik ya que me sacó un par de risas v,di laik sacó par risas ,Other topic,no
23,Las mujeres valen cayampa,las mujeres valen cayampa,mujeres valen cayampa,Opinion about the video or content,yes
24,"El violador es tu papá!!! 
El violador es tu hermano!!!!","el violador es tu papá 
el violador es tu hermano",violador papá violador hermano,Opinion about the video or content,yes
25,Quiero violar una perra,quiero violar una perra,quiero violar perra,Opinion about the video or content,yes
26,Like si vienés por los memes,like si vienés por los memes,like si vienés memes,Other topic,no
27,Pero como van a ser los vioradores los policías si son los q acuden a la violencia machista y os ayudan en contra de esto,pero como van a ser los vioradores los policías si son los q acuden a la violencia machista y os ayudan en contra de esto,van ser vioradores policías si q acuden violencia machista ayudan,Opinion about the video or content,yes
00027-1,"No todos pero tambien hay policia asi, no todos son buenos",no todos pero tambien hay policia asi no todos son buenos,tambien policia asi buenos,Opinion about the video or content,yes
00027-2,"@user Aún así, ¿no resulta excesivo marcar a la policía como violadora porque una minoría de sus componentes hayan violado?",@user aún así no resulta excesivo marcar a la policía como violadora porque una minoría de sus componentes hayan violado,@user aún así resulta excesivo marcar policía violadora minoría componentes violado,Opinion about the video or content,yes
00027-3,"Esta canción fue creada en el contexto de represión de los pacos en el estallido social de octubre del 2019 donde abusaron (en su gran mayoría mujeres) y torturaron a mucha gente. No sólo se centra aquí el hecho, hay un laaaaaargo historial de denuncias contra la institución por abuso sexual y violación desde hace DÉCADAS, el último que indignó, fue el de un paco que violó a una mujer en una comisaría de stgo, se comprobó que era verídico y como el órgano fiscalizador de los pacos son ellos mismos, solo le dieron firma mensual, sigue en el mosmo cargo, con el mismo sueldo, etc. Y así muchos otros casos más. Pacos bastardos que violaron a mujeres detenidas en octubre fue la gota que derramo el vaso, es muy largo para explicar porque legalmente no hay justicia y es consecuencia de la CPR del 80, creada en dictadura. Los demás países adoptaron el himno porque les pareció bueno y en cierta forma se sienten identificados, pero el contexto de origen fue este.",esta canción fue creada en el contexto de represión de los pacos en el estallido social de octubre del dos mil diecinueve donde abusaron en su gran mayoría mujeres y torturaron a mucha gente no sólo se centra aquí el hecho hay un largo historial de denuncias contra la institución por abuso sexual y violación desde hace décadas el último que indignó fue el de un paco que violó a una mujer en una comisaría de stgo se comprobó que era verídico y como el órgano fiscalizador de los pacos son ellos mismos solo le dieron firma mensual sigue en el mosmo cargo con el mismo sueldo etc y así muchos otros casos más pacos bastardos que violaron a mujeres detenidas en octubre fue la gota que derramo el vaso es muy largo para explicar porque legalmente no hay justicia y es consecuencia de la cpr del ochenta creada en dictadura los demás países adoptaron el himno porque les pareció bueno y en cierta forma se sienten identificados pero el contexto de origen fue este,canción creada contexto represión pacos estallido social octubre dos mil diecinueve abusaron gran mayoría mujeres torturaron mucha gente sólo centra aquí hecho largo historial denuncias institución abuso sexual violación hace décadas último indignó paco violó mujer comisaría stgo comprobó verídico órgano fiscalizador pacos mismos solo dieron firma mensual sigue mosmo cargo mismo sueldo etc así casos pacos bastardos violaron mujeres detenidas octubre gota derramo vaso largo explicar legalmente justicia consecuencia cpr ochenta creada dictadura demás países adoptaron himno pareció bueno cierta forma sienten identificados contexto origen,Opinion about the video or content,yes
00027-4,@user El problema és que si la cantas en España estás reclamando a España (supongo que esto demuestra como muchas feministas hablan sin saber lo que dicen y gritan sin escuchar su proclamo).,@user el problema és que si la cantas en españa estás reclamando a españa supongo que esto demuestra como muchas feministas hablan sin saber lo que dicen y gritan sin escuchar su proclamo,@user problema és si cantas españa reclamando españa supongo demuestra muchas feministas hablan saber dicen gritan escuchar proclamo,Opinion about the video or content,yes
28,Viejas ridículas compren una Isla y larguen de aquí,viejas ridículas compren una isla y larguen de aquí,viejas ridículas compren isla larguen aquí,Opinion about the video or content,yes
31,"El Feminicidio comienza 
con el Abortó 👶 
y la asesina🔪 eres tú👩🏻‍🎤 ,
El Violador es 
Tú Abuelo 👴 
Tú Padre 👨🏻
Tú tío 👨🏻
Tú Primo 👨🏻
Tú Hermano👨🏻 
Tú Sobrino👨🏻‍💼 
Tú Hijo 👨🏻‍💼
Tú Nieto👨🏻‍💼
Hay muchas violaciones que vienen de la misma familia.n realidad la culpa es","el feminicidio comienza 
con el abortó 
y la asesina eres tú 
el violador es 
tú abuelo 
tú padre 
tú tío 
tú primo 
tú hermano 
tú sobrino 
tú hijo 
tú nieto
hay muchas violaciones que vienen de la misma familian realidad la culpa es",feminicidio comienza abortó asesina violador abuelo padre tío primo hermano sobrino hijo nieto muchas violaciones vienen misma familian realidad culpa,Opinion about the video or content,yes
00031-01,"Que te importa si una mujer aborta,no es tu problema,asesina? Un cigoto no esta consiente",que te importa si una mujer abortano es tu problemaasesina un cigoto no esta consiente,importa si mujer abortano problemaasesina cigoto consiente,Opinion about the video or content,yes
00031-02,"@user yo no entiendo por qué se dicen cosas así, osea, se supone que deben estar todas unidas :/
Además, no siempre todas las personas vamos a tener las mismas ideologías, no por decirle cosas a alguien va a cambiar su ideología :/","@user yo no entiendo por qué se dicen cosas así osea se supone que deben estar todas unidas 
además no siempre todas las personas vamos a tener las mismas ideologías no por decirle cosas a alguien va a cambiar su ideología",@user entiendo dicen cosas así osea supone deben todas unidas además siempre todas personas vamos tener mismas ideologías decirle cosas alguien va cambiar ideología,Opinion about the video or content,yes
00031-03,Concuerdo con la desconocida,concuerdo con la desconocida,concuerdo desconocida,Evaluation of the interlocutor,no
00031-04,Yo digo que ninguna de esas fue violada son las más pendejas de todo el mundo,yo digo que ninguna de esas fue violada son las más pendejas de todo el mundo,digo ninguna violada pendejas mundo,Opinion about the video or content,yes
00031-05,Mis Huevos,mis huevos,huevos,Evaluation of the interlocutor,no
00031-06,@user aa pero andas de cachondas,@user aa pero andas de cachondas,@user andas cachondas,Personal exchange,no
00031-07,"@user no todos los metodos anticonceptivos funcionan siempre,ahora le vas a prohibir a la gente Tener sexo? Pfff ridiculo",@user no todos los metodos anticonceptivos funcionan siempreahora le vas a prohibir a la gente tener sexo pf ridiculo,@user metodos anticonceptivos funcionan siempreahora vas prohibir gente tener sexo pf ridiculo,Opinion about the video or content,yes
00031-08,@user que pena matar un niño que no tiene la culpa,@user que pena matar un niño que no tiene la culpa,@user pena matar niño culpa,Opinion about the video or content,yes
00031-09,"@user que pena que no sea un ser conviente,NO ES UN NIÑO,NI SIQUIERA ES UN FETO,ES UN CIGOTO",@user que pena que no sea un ser convienteno es un niñoni siquiera es un fetoes un cigoto,@user pena ser convienteno niñoni siquiera fetoes cigoto,Opinion about the video or content,yes
00031-10,@user Que buena escusa para tapar sus errores,@user que buena escusa para tapar sus errores,@user buena escusa tapar errores,Opinion about the video or content,yes
00031-11,"@usera ;; La vida humana debe ser respetada y protegida de manera absoluta desde el momento de la concepción. Desde el primer momento de su existencia, el ser humano debe ver reconocidos sus derechos de persona, entre los cuales está el derecho inviolable de todo ser inocente a la vida. ninguna mujer es Dios para quitarle la vida a una criatura más inocente que ellas.",@usera la vida humana debe ser respetada y protegida de manera absoluta desde el momento de la concepción desde el primer momento de su existencia el ser humano debe ver reconocidos sus derechos de persona entre los cuales está el derecho inviolable de todo ser inocente a la vida ninguna mujer es dios para quitarle la vida a una criatura más inocente que ellas,@usera vida humana debe ser respetada protegida manera absoluta momento concepción primer momento existencia ser humano debe ver reconocidos derechos persona cuales derecho inviolable ser inocente vida ninguna mujer dios quitarle vida criatura inocente,Opinion about the video or content,yes
00031-12,"@Angeles A Es SU problema ELLA decide si quiere tenerlo,y como dije antes,Un cigoto NO es un ser humano.",@angeles a es su problema ella decide si quiere tenerloy como dije antesun cigoto no es un ser humano,@user problema decide si quiere tenerloy dije antesun cigoto ser humano,Opinion about the video or content,yes
00031-13,@user si quieres abortar ABORTA si no no abortes pero RESPETA,@user si quieres abortar aborta si no no abortes pero respeta,@user si quieres abortar aborta si abortes respeta,Opinion about the video or content,yes
32,A asombroso como a avanzado el demonio pero no sera por mucho tiempo.,a asombroso como a avanzado el demonio pero no sera por mucho tiempo,asombroso avanzado demonio sera tiempo,Other topic,no
33,Que ofensa tan grave para Jesûs el es un hombre a si que le están llamando violador también a el por ser hombre y por prohibir el aborto no matarasss y por haber creado para el matrimonio 👰 y la sexualidad hombre y mujer para procrear no sólo para la sexualidad.s,que ofensa tan grave para jesûs el es un hombre a si que le están llamando violador también a el por ser hombre y por prohibir el aborto no mataras y por haber creado para el matrimonio y la sexualidad hombre y mujer para procrear no sólo para la sexualidads,ofensa tan grave jesûs hombre si llamando violador ser hombre prohibir aborto mataras haber creado matrimonio sexualidad hombre mujer procrear sólo sexualidads,Opinion about the video or content,yes
34,vaya panda de tontos,vaya panda de tontos,vaya panda tontos,Evaluation of the interlocutor,no
35,JAJAJAAJAJJ PENDEJAS,jajajaajajj pendejas,jajajaajajj pendejas,Opinion about the video or content,yes
36,Q cringe deoos,q cringe deoos,q cringe deoos,Other topic,no
37,"Y yo me pregunto, a cuantas mujeres han ayudado cantando esto?",y yo me pregunto a cuantas mujeres han ayudado cantando esto,pregunto cuantas mujeres ayudado cantando,Opinion about the video or content,yes
38,Like si te agüitas,like si te agüitas,like si agüitas,Other topic,no
39,Violador es el que no tuvo una familia que lo supiera educar,violador es el que no tuvo una familia que lo supiera educar,violador familia supiera educar,Opinion about the video or content,yes
40,"El violador no soy yo. Los hombres no somos violadores, los (y las) que violan son violadores.",el violador no soy yo los hombres no somos violadores los y las que violan son violadores,violador hombres violadores violan violadores,Opinion about the video or content,yes
41,"que tristeza tendras los papas trabajando mas de 40 horas la semana sin vacaciones sin derecho a quejarce o a llamar enfermos o decir que no pueden mas para pagarles un techo donde vivir, un estudio una universidad, para darles comida y vestido y estas llaman al papa que es machista por que las cuidan de los peligros de la calle y demas, 
estas no se han dado cuenten que le patriarcado ya termino siglos atras?","que tristeza tendras los papas trabajando mas de cuarenta horas la semana sin vacaciones sin derecho a quejarce o a llamar enfermos o decir que no pueden mas para pagarles un techo donde vivir un estudio una universidad para darles comida y vestido y estas llaman al papa que es machista por que las cuidan de los peligros de la calle y demas 
estas no se han dado cuenten que le patriarcado ya termino siglos atras",tristeza tendras papas trabajando mas cuarenta horas semana vacaciones derecho quejarce llamar enfermos decir pueden mas pagarles techo vivir estudio universidad darles comida vestido llaman papa machista cuidan peligros calle demas dado cuenten patriarcado termino siglos atras,Opinion about the video or content,yes
42,"Pinches morras mecas, bueno no les puedo decir mecas por el meco viene del hombre jajaja salu2",pinches morras mecas bueno no les puedo decir mecas por el meco viene del hombre jajaja saludos,pinches morras mecas bueno puedo decir mecas meco viene hombre jajaja saludos,Opinion about the video or content,yes
