id,comment,comment_cleaned_w_stopWords,comment_cleaned_w/o_stopWords,corpus_name,gold_labels,predictions
00001-15,Informate,informate,Informate,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00001-17,@user Se enojo la feminista es solo umor entiendes umor y no deberias de decir ridiculo pq el lo iso con intension de umooor,@user se enojo la feminista es solo umor entiendes umor y no deberias de decir ridiculo pq el lo iso con intension de umor,@user Se enojo feminista solo umor entiendes umor deberias decir ridiculo pq iso intension umooor,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00001-19,@user por fin alguien con neuronas,@user por fin alguien con neuronas,@user fin alguien neuronas,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00001-21,@user que pedo contigo el man apenas es un niño y le dices violador y tonto,@user que pedo contigo el man apenas es un niño y le dices violador y tonto,@user pedo contigo man apenas niño dices violador tonto,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00001-22,PeRo Si SoLo SoY uN nIñO :'(,pero si solo soy un niño,PeRo Si SoLo SoY uN nIñO :'(,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00001-23,@user nos estas diciendo sin neuronas si es Asi que miserable eres,@user nos estas diciendo sin neuronas si es asi que miserable eres,@user diciendo neuronas Asi miserable,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00006-2,El que entendió entemdio,el que entendió entemdio,El entendió entemdio,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00009-1,mas vergüenza me da tu manera de escribir <3 besis,mas vergüenza me da tu manera de escribir tres besis,vergüenza da manera escribir <3 besis,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00009-2,Encontramos a una Grammar nazi,encontramos a una grammar nazi,Encontramos Grammar nazi,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
10,Cuando sale el pack?,cuando sale el pack,Cuando sale pack?,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
11,Yo vine para escuchar el original y el remix.,yo vine para escuchar el original y el remix,Yo vine escuchar original remix.,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,yes
00012-3,@user adoctrinada,@user adoctrinada,@user adoctrinada,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
14,Leonel me violó :(,leonel me violó,Leonel violó :(,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
17,"Pero si le ponen la canción, le da una depresión tonta , llorando lo comienza a llamar",pero si le ponen la canción le da una depresión tonta llorando lo comienza a llamar,"Pero ponen canción, da depresión tonta , llorando comienza llamar",El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00017-1,Jajajajajajaja🤣🤣_x7b3cfed__x0001_,jajajajajajajaxsietebtrescfedxuno,Jajajajajajaja🤣🤣_x7b3cfed__x0001_,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00017-2,c mamo,c mamo,c mamo,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00019-2,haber explicate por que es estupido.. Veamos si tu cerebro te da para pensar un poco,haber explicate por que es estupido veamos si tu cerebro te da para pensar un poco,haber explicate estupido.. Veamos cerebro da pensar,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
20,la cantidad de comentarios estúpidos en esta sección de comentarios ...,la cantidad de comentarios estúpidos en esta sección de comentarios,cantidad comentarios estúpidos sección comentarios ...,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
21,Hombres,hombres,Hombres,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
26,Like si vienés por los memes,like si vienés por los memes,Like vienés memes,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00031-03,Concuerdo con la desconocida,concuerdo con la desconocida,Concuerdo desconocida,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00031-05,Mis Huevos,mis huevos,Mis Huevos,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00031-06,@user aa pero andas de cachondas,@user aa pero andas de cachondas,@user aa andas cachondas,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00031-10,@user Que buena escusa para tapar sus errores,@user que buena escusa para tapar sus errores,@user Que buena escusa tapar errores,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,yes
34,vaya panda de tontos,vaya panda de tontos,vaya panda tontos,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,yes
00054-01,Eres Tú!!,eres tú,Eres Tú!!,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00054-02,@user Yo?,@user yo,@user Yo?,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00054-03,@user si vos,@user si vos,@user vos,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00054-04,@user no tú,@user no tú,@user,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00054-05,No el.,no el,No el.,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00054-06,"@user *introduzca a burro gritando ""BURRO"" * :D",@user introduzca a burro gritando burro d,"@user *introduzca burro gritando ""BURRO"" * :D",El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00054-08,@user jajajaj hay unos comentarios súper buenos y este contenido merece saberlo,@user jajajaj hay unos comentarios súper buenos y este contenido merece saberlo,@user jajajaj comentarios súper buenos contenido merece saberlo,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00054-09,Tu,tu,Tu,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00054-12,Yo khe,yo khe,Yo khe,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00054-13,@user me confundiste mas de lo que estaba compa,@user me confundiste mas de lo que estaba compa,@user confundiste compa,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00054-15,@user es que lo hecho pa que te confundas 😂Ā,@user es que lo hecho pa que te confundas ā,@user hecho pa confundas 😂Ā,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00054-16,@user XD tremenda pelotudez,@user tremenda pelotudez,@user XD tremenda pelotudez,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00054-17,"@user aqui podemos observar a un peculiar caso de ignorancia, al parecer no tuvo padre y no sabe la palabra coherencia",@user aqui podemos observar a un peculiar caso de ignorancia al parecer no tuvo padre y no sabe la palabra coherencia,"@user podemos observar peculiar caso ignorancia, parecer padre sabe palabra coherencia",El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00054-18,@user jaja nadie te pregunto,@user jaja nadie te pregunto,@user jaja pregunto,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00054-19,@user no soy yo... eres tú tonces.,@user no soy yo eres tú tonces,@user yo... tonces.,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00054-25,@user Noooo ahora usted ha entorpecido el chiste😐,@user no ahora usted ha entorpecido el chiste,@user Noooo ahora usted entorpecido chiste😐,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00054-26,@user yo creo que todo quedó bien... a mí me luce todo muy grscioso 🙄,@user yo creo que todo quedó bien a mí me luce todo muy grscioso,@user creo quedó bien... luce grscioso 🙄,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,yes
00055-2,Cachai que hoy día agrario a un evangélico y le quemaron la biblia,cachai que hoy día agrario a un evangélico y le quemaron la biblia,Cachai hoy día agrario evangélico quemaron biblia,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
57,"@user lowen:
""El narcisismo la enfermedad de nuestro tiempo""","@user lowen
el narcisismo la enfermedad de nuestro tiempo","@user lowen: ""El narcisismo enfermedad tiempo""",El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00057-1,Que tiene que ver el narcisismo con esto ?,que tiene que ver el narcisismo con esto,Que ver narcisismo ?,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00057-6,"ver los comentarios de yamila respondiendo a los comentarios de metallica cuando el ya los borro...
ahi es cuando yo digo...
ESQUIZOFRENIA","ver los comentarios de yamila respondiendo a los comentarios de metallica cuando el ya los borro
ahi es cuando yo digo
esquizofrenia",ver comentarios yamila respondiendo comentarios metallica borro... digo... ESQUIZOFRENIA,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
71,"Soy español y que vamos a esperar de sur América ???? Vivis en otro siglo, no tenéis arreglo !!! Qué asco dais !!!!",soy español y que vamos a esperar de sur américa vivis en otro siglo no tenéis arreglo qué asco dais,"Soy español vamos esperar sur América ???? Vivis siglo, arreglo !!! Qué asco dais !!!!",El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00071-2,Acaso en España o Francia no sucede eso ? Ustedes con sus protestas sociales estan peor que toda América en general,acaso en españa o francia no sucede eso ustedes con sus protestas sociales estan peor que toda américa en general,Acaso España Francia sucede ? Ustedes protestas sociales peor toda América general,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,yes
00073-1,Pero aun sigue estando presente pero no del todo,pero aun sigue estando presente pero no del todo,Pero aun sigue presente,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00073-2,"Claro por Seya y los caballeros del zodiaco. Ha eso sí Saori era la Diosa, hay que darle su lugar si no dirán que somos machistas!!!!!",claro por seya y los caballeros del zodiaco ha eso sí saori era la diosa hay que darle su lugar si no dirán que somos machistas,"Claro Seya caballeros zodiaco. Ha Saori Diosa, darle lugar dirán machistas!!!!!",El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00073-4,"Ok, este comentario si estuvo bueno. xDD",ok este comentario si estuvo bueno xdd,"Ok, comentario bueno. xDD",El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00073-5,Pense que era unico de mi madre olvidarse las peliculas.,pense que era unico de mi madre olvidarse las peliculas,Pense unico madre olvidarse peliculas.,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00075-2,Exacto,exacto,Exacto,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
76,Mis huevos en su arroz jajajaja,mis huevos en su arroz jajajaja,Mis huevos arroz jajajaja,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00079-2,@user feministas (helado)🤔,@user feministas helado,@user feministas (helado)🤔,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
80,Mmmm me pregunto si el presidente es el obrador 🤔🤔_x2e65680_怀,m me pregunto si el presidente es el obrador xdosesesenta y cinco mil seiscientos ochenta,Mmmm pregunto presidente obrador 🤔🤔_x2e65680_怀,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
81,Piñera asesino,piñera asesino,Piñera asesino,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00083-1,Diablos señorita,diablos señorita,Diablos señorita,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00083-2,"Somos terribles, deberíamos regresar al Siglo XV",somos terribles deberíamos regresar al siglo xv,"Somos terribles, deberíamos regresar Siglo XV",El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00096-1,Acaso tienen uno ?,acaso tienen uno,Acaso ?,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00097-2,nope,nope,nope,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00097-4,Te mereces un trago.,te mereces un trago,Te mereces trago.,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
100,VAMOOOS Boca campeón,vamos boca campeón,VAMOOOS Boca campeón,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00100-2,@user la verdad ? Xd pero bueno aguante boquita,@user la verdad pero bueno aguante boquita,@user verdad ? Xd bueno aguante boquita,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00100-3,"Jaaj soy de river, pero ame este comentario :v",jaaj soy de river pero ame este comentario v,"Jaaj river, ame comentario :v",El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00106-07,"@user Si eres hombre ya estás completamente castrado, no tienes remedio, Mangina grado 5",@user si eres hombre ya estás completamente castrado no tienes remedio mangina grado cinco,"@user Si hombre completamente castrado, remedio, Mangina grado 5",El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00106-14,"Ya no contesto más, dan mucha paja",ya no contesto más dan mucha paja,"Ya contesto más, dan mucha paja",El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00106-16,@user tus huevos huelen a marisco aliade,@user tus huevos huelen a marisco aliade,@user huevos huelen marisco aliade,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00115-1,Una palabra .... Memes :v,una palabra memes v,Una palabra .... Memes :v,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
119,El otro dia escuchando canciones aleatorio me salio una cancion con el mismo ritmo cancion vieja alguien sabe cual es el tema de donde sacaron el ritmo =?,el otro dia escuchando canciones aleatorio me salio una cancion con el mismo ritmo cancion vieja alguien sabe cual es el tema de donde sacaron el ritmo,El dia escuchando canciones aleatorio salio cancion mismo ritmo cancion vieja alguien sabe tema sacaron ritmo =?,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
123,quiza cuantos culiaos estan parados ahi mas funados que la chucha y,quiza cuantos culiaos estan parados ahi mas funados que la chucha y,quiza cuantos culiaos parados funados chucha,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
126,porqye qutd eyrta nto idslakisl,porqye qutd eyrta nto idslakisl,porqye qutd eyrta nto idslakisl,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00129-1,Oye* haré*,oye haré,Oye* haré*,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00138-1,A dónde ??? Jajajaja,a dónde jajajaja,A ??? Jajajaja,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00140-3,@user muy mal 😡,@user muy mal,@user mal 😡,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-01,JAJA MORÍ,jaja morí,JAJA MORÍ,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-02,@user Jajajaj,@user jajajaj,@user Jajajaj,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-03,@user mexico cantandole a eeuu,@user mexico cantandole a eeuu,@user mexico cantandole eeuu,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-04,Es un poeta es un poeta,es un poeta es un poeta,Es poeta poeta,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-05,Jajaj sos un capo,jajaj sos un capo,Jajaj sos capo,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-06,😉like,like,😉like,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-07,Valla no encuentro fallas en tu lógica,valla no encuentro fallas en tu lógica,Valla encuentro fallas lógica,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-08,Dejeme estrechar su mano de poeta a poeta 👋W,dejeme estrechar su mano de poeta a poeta w,Dejeme estrechar mano poeta poeta 👋W,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-09,Pablo escobar tuvo que aplicar esa,pablo escobar tuvo que aplicar esa,Pablo escobar aplicar,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-10,C mamom 😂,c mamom,C mamom 😂,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-11,"Jejejeje quedó bien. 
Pero nada que ver xd","jejejeje quedó bien 
pero nada que ver",Jejejeje quedó bien. Pero ver xd,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-12,JAJAJA,jajaja,JAJAJA,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-13,Te hiciste una papa maduro te agradecera en su próximo discurso 👍🏼😎👍🏼s,te hiciste una papa maduro te agradecera en su próximo discurso s,Te hiciste papa maduro agradecera próximo discurso 👍🏼😎👍🏼s,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-15,Jajajaja,jajajaja,Jajajaja,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-16,Buenisima jaja que imaginacion,buenisima jaja que imaginacion,Buenisima jaja imaginacion,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-19,Sito Miñanco agree,sito miñanco agree,Sito Miñanco agree,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-20,Moha Ika qjakkssnkaj las weas que salen de Chile.,moha ika qjakkssnkaj las weas que salen de chile,Moha Ika qjakkssnkaj weas salen Chile.,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-21,Apaguen los focos que este weon alumbra mucho,apaguen los focos que este weon alumbra mucho,Apaguen focos weon alumbra,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-22,"Jajajaja en Argentina primavera queman buenas flores
El dto lo hace bien","jajajaja en argentina primavera queman buenas flores
el dto lo hace bien",Jajajaja Argentina primavera queman buenas flores El bien,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-23,@user claro la droga y el outerii están bien para los enfermito que les gusta faltar el respeto a las mujeres,@user claro la droga y el outerii están bien para los enfermito que les gusta faltar el respeto a las mujeres,@user claro droga outerii bien enfermito gusta faltar respeto mujeres,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-24,Puteriio*,puteriio,Puteriio*,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-25,"Si usted piensa que consumir droga es divertido y por quedar bien lo hace le digo altoke que está siendo un estupido y es una decisión que se ve fácil al principio la pruebo y ya no pasa nada es una decisión muy estúpida. Después no va a haber manera de volver a ser como era su mentalidad va a cambiar para mal, se pondrá agresivo con sus parientes y amigos y hasta podría asesinar a alguien por la abstinencia. Es imposible salir de las drogas a menos que tengas apoyo y dinero y más que nada fuerza de voluntad, pero no sabes cómo sufres tu principalmente por estar controlado por algo que no quieres y no puedes dejar nunca.",si usted piensa que consumir droga es divertido y por quedar bien lo hace le digo altoke que está siendo un estupido y es una decisión que se ve fácil al principio la pruebo y ya no pasa nada es una decisión muy estúpida después no va a haber manera de volver a ser como era su mentalidad va a cambiar para mal se pondrá agresivo con sus parientes y amigos y hasta podría asesinar a alguien por la abstinencia es imposible salir de las drogas a menos que tengas apoyo y dinero y más que nada fuerza de voluntad pero no sabes cómo sufres tu principalmente por estar controlado por algo que no quieres y no puedes dejar nunca,"Si usted piensa consumir droga divertido quedar bien digo altoke siendo estupido decisión ve fácil principio pruebo pasa decisión estúpida. Después va haber manera volver ser mentalidad va cambiar mal, pondrá agresivo parientes amigos podría asesinar alguien abstinencia. Es imposible salir drogas menos apoyo dinero fuerza voluntad, sabes sufres principalmente controlado quieres puedes dejar nunca.",El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,yes
00151-26,"@user 1- yo no fumo nada esas cosas matan neuronas 2- yo nunca mencioné las drogas 3- soy Dtoke no altoke (palabra inventada por vos en si 100) y me decís VOS estúpido, jajaja mírate en un espejo y deja de ser tan cínica.
El dto lo hace bien","@user uno yo no fumo nada esas cosas matan neuronas dos yo nunca mencioné las drogas tres soy dtoke no altoke palabra inventada por vos en si cien y me decís vos estúpido jajaja mírate en un espejo y deja de ser tan cínica
el dto lo hace bien","@user 1- fumo cosas matan neuronas 2- nunca mencioné drogas 3- Dtoke altoke (palabra inventada vos 100) decís VOS estúpido, jajaja mírate espejo deja ser tan cínica. El bien",El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-27,"@user Las drogas no te hacen violador eso es depende de la persona y sus pensamientos, las drogas tienen efecto dependiendo la persona que la consuma, vos estás muy influenciada con lo que te dicen tus viejos. 
El dto lo hace bien","@user las drogas no te hacen violador eso es depende de la persona y sus pensamientos las drogas tienen efecto dependiendo la persona que la consuma vos estás muy influenciada con lo que te dicen tus viejos 
el dto lo hace bien","@user Las drogas hacen violador depende persona pensamientos, drogas efecto dependiendo persona consuma, vos influenciada dicen viejos. El bien",El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,yes
00151-28,jjajajajajjajajajajjajaja el comprador eres tu,jjajajajajjajajajajjajaja el comprador eres tu,jjajajajajjajajajajjajaja comprador,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-29,@user Pues es verdad jaja,@user pues es verdad jaja,@user Pues verdad jaja,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-30,Jajajajaja sos un genio SOS UN GENIO jajajajajajaja,jajajajaja sos un genio sos un genio jajajajajajaja,Jajajajaja sos genio SOS UN GENIO jajajajajajaja,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-31,Cuando van a sacar esa versión,cuando van a sacar esa versión,Cuando van sacar versión,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-32,"@user a ver señor detoke jajaja en ningún momento te dije esto pero te respondo yo lo digo para todos los tontos que creen que consumir drogas es divertido. Y altoke se usa en mi país como detoke es lo mismo solo que el tuyo es el nombre de un rapero argentino. Y luego no lo llame estúpido , dije que hacer algo estúpido es estúpido nose si se entiende.",@user a ver señor detoke jajaja en ningún momento te dije esto pero te respondo yo lo digo para todos los tontos que creen que consumir drogas es divertido y altoke se usa en mi país como detoke es lo mismo solo que el tuyo es el nombre de un rapero argentino y luego no lo llame estúpido dije que hacer algo estúpido es estúpido nose si se entiende,"@user ver señor detoke jajaja ningún momento dije respondo digo tontos creen consumir drogas divertido. Y altoke usa país detoke mismo solo nombre rapero argentino. Y luego llame estúpido , dije hacer estúpido estúpido nose entiende.",El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-34,@user Pero vos te burlaste de mi nombre y eso sí que es un insulto,@user pero vos te burlaste de mi nombre y eso sí que es un insulto,@user Pero vos burlaste nombre insulto,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-36,Wea fome,wea fome,Wea fome,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-37,"Ja, ya me río?",ja ya me río,"Ja, río?",El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-38,"@user no te piques amiga es solo humor
El dto lo hace bien","@user no te piques amiga es solo humor
el dto lo hace bien",@user piques amiga solo humor El bien,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-39,JAJAJAJA,jajajaja,JAJAJAJA,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-41,@user AJAJAJAJAJAJAJDKSKW ME HICISTE EL DÍA,@user ajajajajajajajdkskw me hiciste el día,@user AJAJAJAJAJAJAJDKSKW ME HICISTE EL DÍA,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-42,@user ya saltaron los ofendiditos no saben lo que es un maldito chiste,@user ya saltaron los ofendiditos no saben lo que es un maldito chiste,@user saltaron ofendiditos saben maldito chiste,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-46,@user no estoy ofendida solo aclaro cosas que no hacen bien a los demás y no son juego .,@user no estoy ofendida solo aclaro cosas que no hacen bien a los demás y no son juego,@user ofendida solo aclaro cosas hacen bien demás juego .,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-47,"@user Si conservas al menos 2 neuronas te darás cuenta que el comentario era en forma de broma, no lo escribio de forma literal",@user si conservas al menos dos neuronas te darás cuenta que el comentario era en forma de broma no lo escribio de forma literal,"@user Si conservas menos 2 neuronas darás cuenta comentario forma broma, escribio forma literal",El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-48,"@user Buenísimo, buenísimo",@user buenísimo buenísimo,"@user Buenísimo, buenísimo",El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-53,@user tu no tienes porque tacharme y menos darme órdenes . Ni siquiera me conoces,@user tu no tienes porque tacharme y menos darme órdenes ni siquiera me conoces,@user tacharme menos darme órdenes . Ni siquiera conoces,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-54,"@user Y doy gracias al cielo que no te conozco.
No quiero destrozarte con verdaderos argumentos, te estoy dando la oportunidad de que te retires y no quedes en vergüenza","@user y doy gracias al cielo que no te conozco
no quiero destrozarte con verdaderos argumentos te estoy dando la oportunidad de que te retires y no quedes en vergüenza","@user Y doy gracias cielo conozco. No quiero destrozarte verdaderos argumentos, dando oportunidad retires quedes vergüenza",El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-60,jajajajajja cmamuttt 😂/,jajajajajja cmamut,jajajajajja cmamuttt 😂/,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-61,@user Yo puedo opinar en lo que yo quiera y no hay ninguna epistemología que me lo impida,@user yo puedo opinar en lo que yo quiera y no hay ninguna epistemología que me lo impida,@user Yo puedo opinar quiera ninguna epistemología impida,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-62,Este es tu ídolo..... El mío si,este es tu ídolo el mío si,Este ídolo..... El,El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
00151-63,"por culpa de la droga hay familias perdidas en sufrimiento. El que más sufre es el drogadicto. Todo vicio es malo. Si amas a tu familia o tienes a alguien que amas , valorarla hoy porque mañana te arrepentirás.",por culpa de la droga hay familias perdidas en sufrimiento el que más sufre es el drogadicto todo vicio es malo si amas a tu familia o tienes a alguien que amas valorarla hoy porque mañana te arrepentirás,"culpa droga familias perdidas sufrimiento. El sufre drogadicto. Todo vicio malo. Si amas familia alguien amas , valorarla hoy mañana arrepentirás.",El violador eres ..r en tu camino -  Comentarios 1 - 1000,no,no
